Location,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"4044 Clayton Ave
Saint Louis, MO 63110, US",38.631845,-90.248523,1,rooftop,"4044 Clayton Ave",,"Saint Louis, MO 63110",4044,"Clayton Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"City of St Louis"
"4340 Duncan Avenue
Suite 400
Saint Louis, MO 63110
United States",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 400","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,400,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"10407 Baur Blvd
Suite A
St Louis, Missouri 63132, US",38.684797,-90.389972,1,rooftop,"10407 Baur Blvd","Ste A","Saint Louis, MO 63132",10407,"Baur Blvd",Ste,A,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"208 North Green Street
Room 312
Chicago, IL 60607-1702
United States",41.885696,-87.648492,1,range_interpolation,"208 N Green St",312,"Chicago, IL 60607",208,"N Green St",,312,Chicago,IL,"Cook County",60607,US,"TIGER/Line® from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"1005 N Warson Rd, St. Louis, MO 63132",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd",,"Saint Louis, MO 63132",1005,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"Maryland Heights",38.723951,-90.447418,1,place,,,"Maryland Heights, MO 63043",,,,,"Maryland Heights",MO,"St. Louis County",63043,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"204 City Gate Lane, Saint Peters, MO 63303",38.750686,-90.555439,1,rooftop,"204 City Gate Ln",,"Saint Charles, MO 63303",204,"City Gate Ln",,,"Saint Charles",MO,"St. Charles County",63303,US,"St Charles"
"975 N Warson Rd, Olivette, MO 63132",38.675875,-90.396818,1,rooftop,"975 N Warson Rd",,"Saint Louis, MO 63132",975,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1100 Corporate Square Dr, St. Louis, MO 63132.",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr",,"Saint Louis, MO 63132",1100,"Corporate Square Dr",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"Stockholm, Sweden (U.S. presence in St. Louis)",39.158873,-85.993199,0.35,place,,,"Saint Louis Crossing, IN 47201",,,,,"Saint Louis Crossing",IN,"Bartholomew County",47201,US,"TIGER/Line® dataset from the US Census Bureau"
"940 W Port Plaza Dr # 101, St. Louis, MO 63146",38.701189,-90.448157,1,rooftop,"940 W Port Plaza Dr","# 101","Saint Louis, MO 63146",940,"W Port Plaza Dr",#,101,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"Indianapolis, IN (Regional hub in St. Louis)",39.158873,-85.993199,0.35,place,,,"Saint Louis Crossing, IN 47201",,,,,"Saint Louis Crossing",IN,"Bartholomew County",47201,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Louis, MO USA",38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"1005 North Warson Rd., Ste. 401B. St. Louis, MO 63132",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd","Ste 401","Saint Louis, MO 63132",1005,"N Warson Rd",Ste,401,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4340 Duncan Ave Suite 201, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 201","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,201,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4320 Forest Park Ave Study, St. Louis, MO 63108",38.637204,-90.252445,1,range_interpolation,"4320 Forest Park Ave",,"Saint Louis, MO 63108",4320,"Forest Park Ave",,,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
"8460 Watson Rd Suite 112, St. Louis, MO 63119",38.565235,-90.354221,1,rooftop,"8460 Watson Rd","Ste 112","Saint Louis, MO 63119",8460,"Watson Rd",Ste,112,"Saint Louis",MO,"St. Louis County",63119,US,"St Louis (CC0)"
"4600 N Hanley Rd",41.349037,-93.884381,0.6,street_center,"North St",,"Patterson, IA 50218",,"North St",,,Patterson,IA,"Madison County",50218,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 Corporate Square Drive · Suite 150-15 · Saint Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 150-15","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,150-15,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"6 Watch Hill Road, Saint Louis, MO 63124",38.660085,-90.394154,1,rooftop,"6 Watch Hill Rd",,"Saint Louis, MO 63124",6,"Watch Hill Rd",,,"Saint Louis",MO,"St. Louis County",63124,US,"St Louis (CC0)"
"Creve Coeur / St. Louis, MO, USA Bayer+1",40.958207,-78.944443,0.03,street_center,"Grove Ln",,"Punxsutawney, PA 15767",,"Grove Ln",,,Punxsutawney,PA,"Jefferson County",15767,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"101 Lindenwood Drive, Suite 225",42.483429,-71.107831,0.5,place,,,"Lindenwood, MA 02180",,,,,Lindenwood,MA,"Middlesex County",02180,US,"TIGER/Line® dataset from the US Census Bureau"
"2220 Welsch Industrial Ct, St. Louis, MO 63146",38.700041,-90.434003,1,rooftop,"2220 Welsch Industrial Ct",,"Saint Louis, MO 63146",2220,"Welsch Industrial Ct",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"Ballwin, MO, USA LinkedIn+1",38.638318,-90.427118,1,place,,,"Ballwin, MO 63022",,,,,Ballwin,MO,"St. Louis County",63022,US,"TIGER/Line® dataset from the US Census Bureau"
"Rochester, NY (manufacturing) but originally founded US; claims broad operations Rochester Business Journal+2GreenLight Biosciences+2",43.159226,-77.663122,1,street_center,"Rochester St",,"Rochester, NY 14611",,"Rochester St",,,Rochester,NY,"Monroe County",14611,US,"TIGER/Line® dataset from the US Census Bureau"
"5121 Delmar Blvd, St. Louis, MO 63108",38.652356,-90.267634,1,rooftop,"5121 Delmar Blvd",,"Saint Louis, MO 63108",5121,"Delmar Blvd",,,"Saint Louis",MO,"St. Louis City",63108,US,"City of St Louis"
"8201 Idaho Ave, St. Louis, MO 63111",38.547354,-90.269734,1,range_interpolation,"8201 Idaho Ave",,"Saint Louis, MO 63111",8201,"Idaho Ave",,,"Saint Louis",MO,"St. Louis City",63111,US,"TIGER/Line® from the US Census Bureau"
"St. Louis, MO, USA",38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"4340 Duncan Ave Suite 212, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 212","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,212,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"8431 Mid County Industrial Dr, St. Louis, MO 63114",38.692166,-90.340131,1,rooftop,"8431 Mid County Industrial Dr",,"Saint Louis, MO 63114",8431,"Mid County Industrial Dr",,,"Saint Louis",MO,"St. Louis County",63114,US,"St Louis (CC0)"
"4340 Duncan Ave, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"11840 Westline Industrial Dr Suite 120, St. Louis, MO 63146",38.702219,-90.436554,1,rooftop,"11840 Westline Industrial Dr","Ste 120","Saint Louis, MO 63146",11840,"Westline Industrial Dr",Ste,120,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"1100 Corporate Square Dr. Suite 214 / St. Louis, MO 63162",38.677479,-90.400576,0.99,rooftop,"1100 Corporate Square Dr","Ste 214","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,214,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4320 Forest Park Ave. St Louis, Missouri, US",38.637204,-90.252445,1,range_interpolation,"4320 Forest Park Ave",,"Saint Louis, MO 63108",4320,"Forest Park Ave",,,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
"1100 Corporate Square Dr, St. Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr",,"Saint Louis, MO 63132",1100,"Corporate Square Dr",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"2400 Ellis Rd, Durham, NC 27703. ",35.935482,-78.855021,1,rooftop,"2400 Ellis Rd",,"Durham, NC 27703",2400,"Ellis Rd",,,Durham,NC,"Durham County",27703,US,Durham
"1945 Craig Road, Saint Louis, MO 63146",38.695058,-90.445418,1,rooftop,"1945 Craig Rd",,"Saint Louis, MO 63146",1945,"Craig Rd",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"Baltimore, MD, USA (formerly St. Louis, MO) Market Scope",39.161943,-76.629444,0.35,place,,,"Margate, MD 21061",,,,,Margate,MD,"Anne Arundel County",21061,US,"TIGER/Line® dataset from the US Census Bureau"
"754 Goddard Ave, Chesterfield, MO 63005",38.672625,-90.634946,1,rooftop,"754 Goddard Ave",,"Chesterfield, MO 63005",754,"Goddard Ave",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis (CC0)"
"4340 Duncan Ave, Suite 276, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 276","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,276,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"754 Goddard Ave, Chesterfield, MO 63005",38.672625,-90.634946,1,rooftop,"754 Goddard Ave",,"Chesterfield, MO 63005",754,"Goddard Ave",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis (CC0)"
"1100 Corporate Square Dr #261, St. Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 261","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,261,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1005 N Warson Rd, St. Louis, MO 63132",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd",,"Saint Louis, MO 63132",1005,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4340 Duncan Ave Ste 204, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 204","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,204,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"13333 Lakefront Dr, Earth City, MO 63045",38.771345,-90.456503,1,rooftop,"13333 Lakefront Dr",,"Earth City, MO 63045",13333,"Lakefront Dr",,,"Earth City",MO,"St. Louis County",63045,US,"St Louis (CC0)"
"4240 Duncan Avenue. Suite 110. St. Louis, MO 63110. 314-747-1794.",38.634691,-90.251384,0.9,rooftop,"4240 Duncan Ave","Ste 110","Saint Louis, MO 63110",4240,"Duncan Ave",Ste,110,"Saint Louis",MO,"St. Louis City",63110,US,"City of St Louis"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"13500 Riverport Dr, Maryland Heights, MO 63043",38.748646,-90.464724,1,rooftop,"13500 Riverport Dr",,"Maryland Heights, MO 63043",13500,"Riverport Dr",,,"Maryland Heights",MO,"St. Louis County",63043,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"2909 Laclede Ave St. Louis, MO 63103",38.632257,-90.221049,1,rooftop,"2909 Laclede Ave",,"Saint Louis, MO 63103",2909,"Laclede Ave",,,"Saint Louis",MO,"St. Louis City",63103,US,"City of St Louis"
"2315 Locust St Suite 2b St. Louis, MO 63103",38.634252,-90.212825,1,rooftop,"2315 Locust St","Ste 2","Saint Louis, MO 63103",2315,"Locust St",Ste,2,"Saint Louis",MO,"St. Louis City",63103,US,"City of St Louis"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"3050 Spruce St St. Louis Mo 63103",38.629256,-90.227743,1,rooftop,"3050 Spruce St",,"Saint Louis, MO 63103",3050,"Spruce St",,,"Saint Louis",MO,"St. Louis City",63103,US,"City of St Louis"
"1000 Executive Pkwy Dr Apt 224, St. Louis, MO 63141",38.674561,-90.472165,1,rooftop,"1000 Executive Pkwy","Apt 224","Saint Louis, MO 63141",1000,"Executive Pkwy",Apt,224,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis (CC0)"
"4340 Duncan Avenue Suite 255 Saint Louis, MO 63110
",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 255","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,255,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4320 Forest Park Ave UNIT 304, St. Louis, MO 63108",38.637204,-90.252445,1,range_interpolation,"4320 Forest Park Ave","Ste 304","Saint Louis, MO 63108",4320,"Forest Park Ave",Ste,304,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
"4220 Duncan Ave, Suite 201, St. Louis, MO 63110",38.634305,-90.250253,1,rooftop,"4220 Duncan Ave","Ste 201","Saint Louis, MO 63110",4220,"Duncan Ave",Ste,201,"Saint Louis",MO,"St. Louis City",63110,US,"City of St Louis"
"1001 N Warson Rd, Olivette, St. Louis, MO 63132",38.673905,-90.396881,1,rooftop,"1001 N Warson Rd",,"Saint Louis, MO 63132",1001,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"4340 Duncan Avenue, Suite 202, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 202","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,202,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Avenue, Suite 202, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 202","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,202,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"4340 Duncan Avenue Suite 213. St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 213","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,213,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Avenue Suite 213. St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 213","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,213,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"12747 Olive Blvd # 205, St. Louis, MO 63141",38.68066,-90.471419,1,rooftop,"12747 Olive Blvd","Ste 205","Saint Louis, MO 63141",12747,"Olive Blvd",Ste,205,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis (CC0)"
"75 Moulton St, Cambridge, MA 02138",42.392437,-71.148553,1,rooftop,"75 Moulton St",,"Cambridge, MA 02138",75,"Moulton St",,,Cambridge,MA,"Middlesex County",02138,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"875 Chesterfield Pkwy W, Chesterfield, MO 63017",38.657557,-90.55426,1,range_interpolation,"875 Chesterfield Pkwy W",,"Chesterfield, MO 63017",875,"Chesterfield Pkwy W",,,Chesterfield,MO,"St. Louis County",63017,US,"TIGER/Line® from the US Census Bureau"
"1414 South Sangre Road, Suite 101, Stillwater, OK 74074",36.105572,-97.106006,1,rooftop,"1414 S Sangre Rd","Ste 101","Stillwater, OK 74074",1414,"S Sangre Rd",Ste,101,Stillwater,OK,"Payne County",74074,US,"City of Stillwater"
"1100 Corporate Square Drive St. Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr",,"Saint Louis, MO 63132",1100,"Corporate Square Dr",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"11754 Westline Industrial Dr, St. Louis, MO 63146",38.702574,-90.434103,1,rooftop,"11754 Westline Industrial Dr",,"Saint Louis, MO 63146",11754,"Westline Industrial Dr",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"4041 Forrest Park Avenue Saint Louis, MO 63108",38.636055,-90.246069,0.89,nearest_rooftop_match,"4035 Forest Park Ave",,"Saint Louis, MO 63108",4035,"Forest Park Ave",,,"Saint Louis",MO,"St. Louis City",63108,US,"City of St Louis"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"San Diego ",32.724103,-117.170912,1,place,,,"San Diego, CA 92101",,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® dataset from the US Census Bureau"
